ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
มหาวิทยาลัยธุรกิจบัณฑิตย์	/má hǎː wít tʰá jaː laj tʰúʔ rá kìt ban dìt/
มหาวิทยาลัยนเรศวร	/má hǎː wít tʰá jaː laj ná reː sǔːan/
มหาวิทยาลัยนอร์ทกรุงเทพฯ	/má hǎː wít tʰá jaː laj nɔ̂ːt kruŋ tʰêːp/
มหาวิทยาลัยในอังกฤษ	/má hǎː wít tʰá jaː laj naj ʔaŋ krìt/
มหาวิทยาลัยบูรพา	/má hǎː wít tʰá jaː laj buː rá pʰaː/
มหาวิทยาลัยเพนซิลเวเนีย 	/má hǎː wít tʰá jaː laj pʰeːn sin weː niːa/
มหาวิทยาลัยมหามกุฏราชวิทยาลัย	/má hǎː wít tʰá jaː laj má hǎː má kùt râːt tɕʰá wít tʰá jaː laj/
มหาวิทยาลัยมหิดล	/má hǎː wít tʰá jaː laj má hìʔ don/
มหาวิทยาลัยเยล	/má hǎː wít tʰá jaː laj jeːn/
มหาวิทยาลัยราชภัฏสวนดุสิต	/má hǎː wít tʰá jaː laj râːt tɕʰá pʰát sǔːan dùʔ sìt/
มหาวิทยาลัยรามคำแหง	/má hǎː wít tʰá jaː laj raːm kʰam hɛ̌ːŋ/
มหาวิทยาลัยศรีนครินทรวิโรฒ	/má hǎː wít tʰá jaː laj sǐː náʔ kʰáʔ rin wíʔ rôːt/
มหาวิทยาลัยศิลปากร	/má hǎː wít tʰá jaː laj sǐn paː kɔːn/
มหาวิทยาลัยสงขลานครินทร์	/má hǎː wít tʰá jaː laj sǒŋ kʰlǎː ná kʰá rin tʰá/
มหาวิทยาลัยสถาบันเทคโนโลยีราชมงคล	/má hǎː wít tʰá jaː laj sà tʰǎː ban tʰêːk noː loː jiː râːt tɕʰá moŋ kʰon/
มหาวิทยาลัยสุโขทัยธรรมาธิราช	/má hǎː wít tʰá jaː laj sùʔ kʰǒː tʰaj tʰam maː tʰíʔ râːt/
มหาวิทยาลัยหอการค้าไทย	/má hǎː wít tʰá jaː laj hɔ̌ː kaːn kʰáː tʰaj/
มหาวิทยาลัยออกซฟอร์ด	/má hǎː wít tʰá jaː laj ʔɔ̀ːk sóf ʔɔ̀ːt/
มหาวิทยาลัยอุบลราชธานี	/má hǎː wít tʰá jaː laj ʔùʔ bon râːt tɕʰáʔ tʰaː niː/
มหาเวสสันดรชาดก	/má hǎː wêːt sǎn dɔːn tɕʰaː dòk/
มหาเศรษฐี	/má hǎː sèːt tʰǐː/
มหาสตรี	/má hǎː sà triː/
มหาสมุทร	/má hǎː sà mùt/
มหาสมุทรแปซิฟิก	/má hǎː sà mùt pɛː síʔ fík/
มหาสมุทรอินเดีย	/má hǎː sà mùt ʔin diːa/
มหาสมุทรแอตแลนติก	/má hǎː sà mùt ʔɛ̀ːt lɛːn tìk/
มหาโหด	/má hǎː hòːt/
มหาอำนาจ	/má hǎː ʔam nâːt/
มหาอุทกภัย	/má hǎː ʔùʔ tʰók kà pʰaj/
มหาจักรีสิรินธร	/má hǎː tɕàk riː sìʔ rin tʰɔːn/
มหาชาติ	/má hǎː tɕʰâːt/
ต้อนรับขับสู้	/tɔ̂ːn ráp kʰàp sûː/
ตอนที่	/tɔːn tʰîː/
ต่อนัดต่อแนง	/tɔ̀ː nát tɔ̀ː nɛːŋ/
ตอบ	/tɔ̀ːp/
ตอบกลับ	/tɔ̀ːp klàp/
ตอบคำถาม	/tɔ̀ːp kʰam tʰǎːm/
ตอบด้วย	/tɔ̀ːp dûaj/
ตอบด้วย	/tɔ̀ːp dûaj/
ตอบตรง ๆ	/tɔ̀ːp troŋ troŋ/
ตอบโต้	/tɔ̀ːp tôː/
ตอบแทนบุญคุณ	/tɔ̀ːp tʰɛːn bun kʰun/
ตอบรับ	/tɔ̀ːp ráp/
ตอบเลี่ยง	/tɔ̀ːp lîːaŋ/
ตอบว่า	/tɔ̀ːp wâː/
ตอบสนอง	/tɔ̀ːp sà nɔ̌ːŋ/
ตอบสนองปุบปับฉับพลัน	/tɔ̀ːp sà nɔ̌ːŋ pùp pàp tɕʰàp pʰlan/
ตอบเออ ๆ	/tɔ̀ːp ʔɤː/
ตอม	/tɔːm/
ต่อม	/tɔ̀ːm/
ต่อมทอนซิลอักเสบ	/tɔ̀ːm tʰɔːn sin ʔàk sèːp/
ต่อมน้ำนม	/tɔ̀ːm náːm nom/
ต่อมน้ำนมคัด	/tɔ̀ːm náːm nom kʰát/
ต่อมน้ำเหลือง	/tɔ̀ːm náːm lɯ̌ːaŋ/
ต่อมไร้ท่อ	/tɔ̀ːm ráj tʰɔ̂ː/
ต่อมลูกหมาก	/tɔ̀ːm lûːk màːk/
ต่อมโลหิต	/tɔ̀ːm loː hìt/
ต่อมฮา	/tɔ̀ːm haː/
ต้อม	/tɔ̂ːm/
ต๋อม	/tɔ̌ːm/
ต่อมตง	/tɔ̀ːm toŋ/
ต่อมตง ๆ	/tɔ̀ːm toŋ tɔ̀ːm toŋ/
ต่อย	/tɔ̀ːj/
ต่อยมวย	/tɔ̀ːj muaj/
ต้อย	/tɔ̂ːj/
ต้อยต่ำ	/tɔ̂ːj tàm/
ต้อยๆ	/tɔ̂ːj tɔ̂ːj/
ต๋อย	/tɔ̌ːj/
ตอแย	/tɔː jɛː/
ตอแยง	/tɔː jɛːŋ/
ตอร์ปิโด	/tɔː pìʔ doː/
ตอลิบาน	/tɔː líʔ baːn/
ตอหลดตอแหล	/tɔː lòt tɔː lɛ̌ː/
ยกหู	/jók hǔː/
ยกหูต่อสายโทรศัพท์พูดคุยกับ	/jók hǔː tɔ̀ː sǎːj tʰoː rá sàp pʰûːt kʰuj kàp/
ยกหูโทรศัพท์ถึง	/jók hǔː tʰoː rá sàp tʰɯ̌ŋ/
ยกให้	/jók hâj/
ยกใหญ่	/jók jàj/
ยกย่อง	/jók jɔ̂ːŋ/
ยกล้อ	/jók lɔ́ː/
ยง	/joŋ/
ยถากรรม	/já tʰǎː kam/
ยธ.	/krom joː tʰaː tʰíʔ kaːn/
ย่น	/jôn/
ย่นคิ้ว	/jôn kʰíw/
ย่นย่อ	/jôn jɔ̂ː/
ยนต์	/jon/
ยนตรกรรม	/jon tà rá kam/
ยม	/jom/
ยม	/jom má/
ยมทูต	/jom má tʰûːt/
ยมราช	/jom má râːt tɕʰá/
ยมโลก	/jom má lôːk/
ยมก	/já mók/
ยมนา	/jom naː/
ยล	/jon/
ยล.	/jáʔ laː/
ยวด	/jûːat/
ยวดยิ่ง	/jûːat jîŋ/
ยวดยาน	/jûːat jaːn/
ยวดยานพาหนะ	/jûːat jaːn pʰaː hà náʔ/
ยวน	/juːan/
ยวบ	/jûːap/
ยวบยาบ	/jûːap jâːp/
ย้วย	/júaj/
ยศ	/jót/
ยศอย่าง	/jót jàːŋ/
ยศถาบรรดาศักดิ์	/jót tʰǎː ban daː sàk/
ยศศักดิ์	/jót sàk/
ยส.	/já sǒː tʰɔːn/
ยโส	/já sǒː/
ยโสโอหัง	/já sǒː ʔoː hǎŋ/
ยโสธร	/já sǒː tʰɔːn/
ย่อ	/jɔ̂ː/
ย่อความ	/jɔ̂ː kʰwaːm/
ย่อตัว	/jɔ̂ː tuːa/
ท่านหญิง	/tʰân jǐŋ/
ท่านขุน	/tʰâːn kʰǔn/
ทานตะวัน	/tʰaːn tàʔ wan/
ทานมัย	/tʰaːn ná maj/
ทาบ	/tʰâːp/
ทาบกัน	/tʰâːp kan/
ทาบทาม	/tʰâːp tʰaːm/
ทาบไม่ติด	/tʰâːp mâj tìt/
ทาบรัศมี	/tʰâːp rát sà mǐː/
ท่าพระจันทร์	/tʰâːp ráʔ tɕan tʰá/
ทาม	/tʰaːm/
ท่ามกลาง	/tʰâːm klaːŋ/
ทามมาย	/tʰaːm maːj/
ทามารา	/tʰaː maː raː/
ทาย	/tʰaːj/
ทายใจ	/tʰaːj tɕaj/
ทายดู	/tʰaːj duː/
ท้ายครัว	/tʰáːj kʰruːa/
ท้ายครัว	/tʰáːj kʰruːa/
ท้ายทอย	/tʰáːj tʰɔːj/
ท้ายรถ	/tʰáːj rót/
ท้ายเรือ	/tʰáːj rɯːa/
ท้ายสุด	/tʰáːj sùt/
ทายก	/tʰaː jók/
ทายาท	/tʰaː jâːt/
ทายาทโดยธรรม	/tʰaː jâːt doːj tʰam má/
ทายาทตามพินัยกรรม	/tʰaː jâːt taːm pʰíʔ naj kam/
ทายาททางการเมือง	/tʰaː jâːt tʰaːŋ kaːn mɯːaŋ/
ทายิกา	/tʰaː jíʔ kaː/
ทาร์	/tʰaː/
ทารก	/tʰaː rók/
ทารุณ	/tʰaː run/
ทารุณจิตใจ	/tʰaː run tɕìt tɕaj/
ทารุณโหดร้าย	/tʰaː run hòːt ráːj/
ทารุณกรรม	/tʰaː run ná kam/
ทารุณกรรมเด็ก	/tʰaː run ná kam dèk/
ภาษาสวีเดน	/pʰaː sǎː sà wiː deːn/
ภาษาสันสกฤต	/pʰaː sǎː sǎn sà krìt/
ภาษาสุภาพ	/pʰaː sǎː sùʔ pʰâːp/
ภาษาหนังสือ	/pʰaː sǎː nǎŋ sɯ̌ː/
ภาษาหมา ๆ	/pʰaː sǎː mǎː mǎː/
ภาษาหยาบ	/pʰaː sǎː jàːp/
ภาษาอังกฤษ	/pʰaː sǎː ʔaŋ krìt/
ภาษาอังกฤษในฐานะที่เป็นภาษาที่สอง	/pʰaː sǎː ʔaŋ krìt naj tʰǎː náʔ tʰîː pen pʰaː sǎː tʰîː sɔ̌ːŋ/
ภาษาอีสาน	/pʰaː sǎː ʔiː sǎːn/
ภาษาเอชทีเอ็มแอล	/pʰaː sǎː ʔèːt tʰiː ʔem ʔɛːn/
ภาษาแอสเซมบลี	/pʰaː sǎː ʔɛ̀ːt seːm bà liː/
ภาษิต	/pʰaː sìt/
ภาษี	/pʰaː sǐː/
ภาษีการค้า	/pʰaː sǐː kaːn kʰáː/
ภาษีเงินได้	/pʰaː sǐː ŋɤn dâj/
ภาษีที่ดิน	/pʰaː sǐː tʰîː din/
ภาษีนำเข้า	/pʰaː sǐː nam kʰâw/
ภาษีมรดก	/pʰaː sǐː mɔː rá dòk/
ภาษีมูลค่าเพิ่ม	/pʰaː sǐː muːn kʰâː pʰɤ̂ːm/
ภาษีโรงเรียนและที่ดิน	/pʰaː sǐː roːŋ riːan lɛ́ʔ tʰîː din/
ภาษีศุลกากร	/pʰaː sǐː sǔn lá kaː kɔːn/
ภาษีสรรพสามิต	/pʰaː sǐː sàp sǎː mít/
ภาษีสินค้า	/pʰaː sǐː sǐn kʰáː/
ภาษีเสริม	/pʰaː sǐː sɤ̌ːm/
ภาษีเจริญ	/pʰaː sǐː tɕeː rin/
ภาษีอากร	/pʰaː sǐː ʔaː kɔːn/
ภาษีอากรธุรกิจ	/pʰaː sǐː ʔaː kɔːn tʰúʔ rá kìt/
ภาส	/pʰâːt/
ภาสุระ	/pʰaː sùʔ ráʔ/
ภิกขา	/pʰík kʰǎː/
ภิกขาจาร	/pʰík kʰǎː tɕaːn/
ภิกขุ	/pʰík kʰùʔ/
ภิกษุ	/pʰík sùʔ/
ภิกษุสงฆ์	/pʰík sùʔ sǒŋ/
ภิกษุณี	/pʰík sùʔ niː/
ภิญโญ	/pʰin joː/
ภินท์	/pʰin/
ภิรมย์	/pʰíʔ rom/
ภุช	/pʰút/
ภุชงค์	/pʰúʔ tɕʰoŋ/
ภุมระ	/pʰum má ráʔ/
ภุมรา	/pʰum raː/
ภุมริน	/pʰum rin/
น่าหลงใหล	/nâː lǒŋ lǎj/
น่าหวั่นกลัว	/nâː wàn kluːa/
น่าหัวร่อ!	/nâː hǔːa rɔ̂ː/
น่าหัวเราะ	/nâː hǔːa rɔ́ʔ/
น่าเหนื่อย	/nâː nɯ̀ːaj/
น่าอนาถ	/nâː ʔà nàːt/
น่าอนาถจริงหนอ...	/nâː ʔà nàːt tɕiŋ nɔ̌ː/
น่าอภิรมย์	/nâː ʔà pʰíʔ rom/
น่าอร่อย	/nâː ʔà rɔ̀ːj/
น่าอัปยศอดสู	/nâː ʔàp pàʔ jót ʔòt sǔː/
น่าอัศจรรย์	/nâː ʔàt sà tɕan/
น่าอ่าน	/nâː ʔàːn/
น่าอาย	/nâː ʔaːj/
น่าอิจฉา	/nâː ʔìt tɕʰǎː/
น่าเอ็นดู	/nâː ʔen duː/
น่าเอาอย่าง	/nâː ʔaw jàːŋ/
น่าฮัก	/nâː hák/
น้า	/náː/
น้าชาย	/náː tɕʰaːj/
น้าผู้ชาย	/náː pʰûː tɕʰaːj/
น้าผู้หญิง	/náː pʰûː jǐŋ/
นาก	/nâːk/
นากสวาด	/nâːk sà wâːt/
นากะซากิ	/naː kàʔ saː kìʔ/
นาเกตุ	/naː kèːt/
นาค	/nâːk/
นาคบุค	/nâːk bùk/
นาคี	/naː kʰiː/
น่าเคารพ	/nâː kʰaw róp/
นาง	/naːŋ/
นางกากี	/naːŋ kaː kiː/
นางกำนัล	/naːŋ kam nan/
นางงาม	/naːŋ ŋaːm/
นางงามจักรวาล	/naːŋ ŋaːm tɕàk kràʔ waːn/
นางงามมิตรภาพ	/naːŋ ŋaːm mít tràʔ pʰâːp/
นางเงือก	/naːŋ ŋɯ̂ːak/
บ้านให้เช่า	/bâːn hâj tɕʰâw/
บานตะไท	/baːn tàʔ tʰaj/
บานทะโรค	/baːn tʰáʔ rôːk/
บานเบอะ	/baːn bɤ̀ʔ/
บานเบิก	/baːn bɤ̀ːk/
บ้านม่วง	/bâːn mûːaŋ/
บ้าบ๋า	/bâː bǎː/
บาบู	/baː buː/
บ้าบู	/bâː buː/
บาป	/bàːp/
บาปกรรม	/bàːp kam/
บาปซ้ำกรรมซัด	/bàːp sám kam sát/
บาปติดตัว	/bàːp tìt tuːa/
บามาโก	/baː maː koː/
บาย	/baːj/
บ่าย	/bàːj/
บ่ายคล้อย	/bàːj kʰlɔ́ːj/
บ่ายคล้อย	/bàːj kʰlɔ́ːj/
บ่ายคล้อยจวนจะค่ำ	/bàːj kʰlɔ́ːj tɕuːan tɕàʔ kʰâm/
บ่ายนี้	/bàːj níː/
บ่ายเบน	/bàːj beːn/
บ่ายเบี่ยง	/bàːj bìːaŋ/
บ่ายโมง	/bàːj moːŋ/
บ่ายโมงครึ่ง	/bàːj moːŋ kʰrɯ̂ŋ/
บ่ายสองโมง	/bàːj sɔ̌ːŋ moːŋ/
บ่ายสามโมง	/bàːj sǎːm moːŋ/
บ่ายสี่โมง	/bàːj sìː moːŋ/
บ่ายหน้า	/bàːj nâː/
บ่าย ๆ	/bàːj bàːj/
บ้าย	/bâːj/
บ๊าย	/báːj/
บ๊าย บาย	/báːj baːj/
บ้ายบาย	/bâːj baːj/
บ๊ายบาย	/báːj baːj/
บายพ้าส	/baːj pʰáːt/
บายศรี	/baːj sǐː/
บายๆ	/baːj baːj/
บาร์	/baː/
บาร์เกย์	/baː keː/
บาร์โกโก	/baː koː koː/
บาร์คู่	/baː kʰûː/
บาร์โค้ด	/baː kʰóːt/
บาร์เดี่ยว	/baː dìːaw/
กระปุกหลุก	/kràʔ pùk lùk/
กระเป๋า	/kràʔ pǎw/
กระเป๋าเงิน 	/kràʔ pǎw ŋɤn/
กระเป๋าฉีก	/kràʔ pǎw tɕʰìːk/
กระเป๋าดินสอ	/kràʔ pǎw din sɔ̌ː/
กระเป๋าเดินทาง 	/kràʔ pǎw dɤːn tʰaːŋ/
กระเป๋าเดินทางใบใหญ่	/kràʔ pǎw dɤːn tʰaːŋ baj jàj/
กระเป๋าเดินทางล้อลาก	/kràʔ pǎw dɤːn tʰaːŋ lɔ́ː lâːk/
กระเป๋าตังค์	/kràʔ pǎw taŋ/
กระเป๋าตังค์	/kràʔ pǎw taŋ/
กระเป๋าถือ	/kràʔ pǎw tʰɯ̌ː/
กระเป๋าน้ำร้อน	/kràʔ pǎw náːm rɔ́ːn/
กระเป๋าไฟฟ้า	/kràʔ pǎw faj fáː/
กระเป๋าสะพาย	/kràʔ pǎw sàʔ pʰaːj/
กระเป๋าสะพายหลัง	/kràʔ pǎw sàʔ pʰaːj lǎŋ/
กระเป๋าเสื้อ	/kràʔ pǎw sɯ̂ːa/
กระเป๋าเสื้อผ้า	/kràʔ pǎw sɯ̂ːa pʰâː/
กระเป๋าใส่เศษสตางค์	/kràʔ pǎw sàj sèːt sà taːŋ/
กระเป๋าหน้าท้อง	/kràʔ pǎw nâː tʰɔ́ːŋ/
กระเป๋าหนีบ	/kràʔ pǎw nìːp/
กระเป๋าหิ้ว	/kràʔ pǎw hîw/
กระเป๋าหิ้วใส่เอกสาร	/kràʔ pǎw hîw sàj ʔèːk kà sǎːn/
กระเป๋าอุ้มเด็ก	/kràʔ pǎw ʔûm dèk/
กระเป๋าเอกสาร 	/kràʔ pǎw ʔèːk kà sǎːn/
กระโปก	/kràʔ pòːk/
กระโปรง	/kràʔ proːŋ/
กระโปรงชั้นใน	/kràʔ proːŋ tɕʰán naj/
กระโปรงท้ายรถ	/kràʔ proːŋ tʰáːj rót/
กระโปรงรถ	/kràʔ proːŋ rót/
กระโปรงสั้น	/kràʔ proːŋ sân/
กระโปรงสุ่มไก่	/kràʔ proːŋ sùm kàj/
กระโปรงหลังรถ	/kràʔ proːŋ lǎŋ rót/
กระโปรงชุดติดกัน	/kràʔ proːŋ tɕʰút tìt kan/
กระผม	/kràʔ pʰǒm/
กระผีก	/kràʔ pʰìːk/
กระผีกริ้น	/kràʔ pʰìːk rín/
กระพง	/kràʔ pʰoŋ/
กระพรวน	/kràʔ pʰruːan/
กระพร่องกระแพร่ง	/kràʔ pʰrɔ̂ːŋ kràʔ pʰrɛ̂ːŋ/
กระพริบ	/kràʔ pʰríp/
กระพริบตา	/kràʔ pʰríp taː/
กระพัง	/kràʔ pʰaŋ/
กระพือ	/kràʔ pʰɯː/
กระพือข่าว	/kràʔ pʰɯː kʰàːw/
กระพือปีก	/kràʔ pʰɯː pìːk/
กระพือโหม	/kràʔ pʰɯː hǒːm/
กระพุ้ง	/kràʔ pʰúŋ/
ขาดกัน	/kʰàːt kan/
ขาดการติดต่อ	/kʰàːt kaːn tìt tɔ̀ː/
ขาดคราว	/kʰàːt kʰraːw/
ขาดความต่อเนื่อง	/kʰàːt kʰwaːm tɔ̀ː nɯ̂ːaŋ/
ขาดความน่าเชื่อถือ	/kʰàːt kʰwaːm nâː tɕʰɯ̂ːa tʰɯ̌ː/
ขาดความมั่นใจ	/kʰàːt kʰwaːm mân tɕaj/
ขาดความระลึกถึงฐานะเดิมของตน	/kʰàːt kʰwaːm ráʔ lɯ́k tʰɯ̌ŋ tʰǎː náʔ dɤːm kʰɔ̌ːŋ ton/
ขาดความสดชื่น	/kʰàːt kʰwaːm sòt tɕʰɯ̂ːn/
ขาดแคลน	/kʰàːt kʰlɛːn/
ขาดแคลน	/kʰàːt kʰlɛːn/
