𠻺	/a:˨/
佔領	/tsi:m˧ lɪŋ˩˧/
佔領區	/tsi:m˧ lɪŋ˩˧ kʰɵy˥/
佔領地	/tsi:m˧ lɪŋ˩˧ tei˨/
佔領軍	/tsi:m˧ lɪŋ˩˧ kwɐn˥/
何	/hɔ:˨˩/, /hɔ:˨/
何事	/hɔ:˨˩ si:˨/
何人	/hɔ:˨˩ jɐn˨˩/
何以	/hɔ:˨˩ ji:˩˧/
何以自處	/hɔ:˨˩ ji:˩˧ tsi:˨ tsʰy:˩˧/
何去何從	/hɔ:˨˩ hɵy˧ hɔ:˨˩ tsʰʊŋ˨˩/
何嘗	/hɔ:˨˩ sœ:ŋ˨˩/
何奇不有	/hɔ:˨˩ kʰei˨˩ pɐt˥ jɐu˩˧/
何妨	/hɔ:˨˩ fɔ:ŋ˨˩/
何媽	/hɔ:˨˩ ma:˥/
何德何能	/hɔ:˨˩ tɐk˥ hɔ:˨˩ nɐŋ˨˩/, /hɔ:˨˩ tɐk˥ hɔ:˨˩ lɐŋ˨˩/
何必	/hɔ:˨˩ pi:t˥/
何必如此	/hɔ:˨˩ pi:t˥ jy:˨˩ tsʰi:˧˥/
何必當初	/hɔ:˨˩ pi:t˥ tɔ:ŋ˥ tsʰɔ:˥/
何時何地	/hɔ:˨˩ si:˨˩ hɔ:˨˩ tei˨/
何樂而不為	/hɔ:˨˩ lɔ:k˨ ji:˨˩ pɐt˥ wɐi˨˩/
何止	/hɔ:˨˩ tsi:˧˥/
何況	/hɔ:˨˩ fɔ:ŋ˧/
何為	/hɔ:˨˩ wɐi˨˩/
何等	/hɔ:˨˩ tɐŋ˧˥/
何者	/hɔ:˨˩ tsɛ:˧˥/
何至於此	/hɔ:˨˩ tsi:˧ jy:˥ tsʰi:˧˥/
何苦來哉	/hɔ:˨˩ fu:˧˥ lɔ:i˨˩ tsɔ:i˥/
何處	/hɔ:˨˩ tsʰy:˧/
何謂	/hɔ:˨˩ wɐi˨/
何足掛齒	/hɔ:˨˩ tsʊk˥ kwa:˧ tsʰi:˧˥/
何難之有	/hɔ:˨˩ na:n˨˩ tsi:˥ jɐu˩˧/, /hɔ:˨˩ la:n˨˩ tsi:˥ jɐu˩˧/
何須	/hɔ:˨˩ sɵy˥/
佖	/pi:t˥/
佗B	/tʰɔ:˨˩ pi:˥/
佗	/tʰa:˨˩/, /tʰɔ:˥/, /tʰɔ:˨˩/
佗	/tʰɔ:˨˩/
佗人	/tʰɔ:˨˩ jɐn˨˩/
佗仔	/tʰɔ:˨˩ tsɐi˧˥/
佗住BB	/tʰɔ:˨˩ tsy:˨ pi:˨˩ pi:˥/
佗住	/tʰɔ:˨˩ tsy:˨/
佗住啤啤	/tʰɔ:˨˩ tsy:˨ pi:˨˩ pi:˥/
佗住細路	/tʰɔ:˨˩ tsy:˨ sɐi˧ lou˨/
佗啤	/tʰɔ:˨˩ pi:˥/
佗手[扌＋能]腳	/tʰɔ:˨˩ sɐu˧˥ nɐŋ˧ kœ:k˧/, /tʰɔ:˨˩ sɐu˧˥ lɐŋ˧ kœ:k˧/
佗手㨢腳	/tʰɔ:˨˩ sɐu˧˥ nɐŋ˧ kœ:k˧/, /tʰɔ:˨˩ sɐu˧˥ lɐŋ˧ kœ:k˧/
佗手褦腳	/tʰɔ:˨˩ sɐu˧˥ nɐŋ˧ kœ:k˧/, /tʰɔ:˨˩ sɐu˧˥ lɐŋ˧ kœ:k˧/
佗累	/tʰɔ:˨˩ lɵy˨/
佗衰	/tʰɔ:˨˩ sɵy˥/
佗衰人	/tʰɔ:˨˩ sɵy˥ jɐn˨˩/
佗衰家	/tʰɔ:˨˩ sɵy˥ ka:˥/
佘	/sɛ:˨˩/
余	/jy:˨˩/
佚	/jɐt˨/
佛	/pɐt˨/, /fɐt˥/, /fɐt˨/
佛像	/fɐt˨ tsœ:ŋ˨/
佛光	/fɐt˥ kwɔ:ŋ˥/
佛典	/fɐt˥ ti:n˧˥/
佛堂	/fɐt˥ tʰɔ:ŋ˨˩/
佛塔	/fɐt˥ tʰa:p˧/
佛學	/fɐt˥ hɔ:k˨/
佛學界	/fɐt˥ hɔ:k˨ ka:i˧/
佛家	/fɐt˥ ka:˥/
佛家弟子	/fɐt˥ ka:˥ tɐi˨ tsi:˧˥/
佛寶	/fɐt˥ pou˧˥/
佛寺	/fɐt˥ tsi:˨/
佛性	/fɐt˥ sɪŋ˧/
佛手柑	/fɐt˨ sɐu˧˥ kɐm˥/
佛教	/fɐt˥ ka:u˧/
佛教徒	/fɐt˥ ka:u˧ tʰou˨˩/
佛殿	/fɐt˥ ti:n˨/
佛法	/fɐt˥ fa:t˧/
佛牙	/fɐt˨ ŋa:˨˩/, /fɐt˨ a:˨˩/
佛祖	/fɐt˥ tsou˧˥/
佛經	/fɐt˥ kɪŋ˥/
佛要金裝	/fɐt˨ ji:u˧ kɐm˥ tsɔ:ŋ˥/
佛要金裝，人要衣裝	/fɐt˨ ji:u˧ kɐm˥ tsɔ:ŋ˥ jɐn˨˩ ji:u˧ ji:˥ tsɔ:ŋ˥/
佛誕	/fɐt˥ ta:n˧/
佛都有火	/fɐt˨ tou˥ jɐu˩˧ fɔ:˧˥/
佛門	/fɐt˥ mu:n˨˩/
佛門弟子	/fɐt˥ mu:n˨˩ tɐi˨ tsi:˧˥/
佛頭	/fɐt˥ tʰɐu˨˩/
佛骨	/fɐt˥ kwɐt˥/
佛龕	/fɐt˨ hɐm˥/
作	/tsɔ:k˧/
作主	/tsɔ:k˧ tsy:˧˥/
作人	/tsɔ:k˧ jɐn˨˩/
作伴	/tsɔ:k˧ pu:n˨/
作個古仔	/tsɔ:k˧ kɔ:˧ ku:˧ tsɐi˧˥/
作個故仔	/tsɔ:k˧ kɔ:˧ ku:˧ tsɐi˧˥/
作出	/tsɔ:k˧ tsʰɵt˥/
作反	/tsɔ:k˧ fa:n˧˥/
作品	/tsɔ:k˧ pɐn˧˥/
作嘔	/tsɔ:k˧ ɐu˧˥/, /tsɔ:k˧ ŋɐu˧˥/
作圖	/tsɔ:k˧ tʰou˨˩/
作夢	/tsɔ:k˧ mʊŋ˨/
作大	/tsɔ:k˧ ta:i˨/
作奸犯科	/tsɔ:k˧ ka:n˥ fa:n˨ fɔ:˥/
作威作福	/tsɔ:k˧ wɐi˥ tsɔ:k˧ fʊk˥/
作孽	/tsɔ:k˧ ji:t˨/
作官	/tsɔ:k˧ ku:n˥/
作客	/tsɔ:k˧ ha:k˧/
作家	/tsɔ:k˧ ka:˥/
作對	/tsɔ:k˧ tɵy˧/
作對	/tsɔ:k˧ tɵy˧˥/
作廢	/tsɔ:k˧ fɐi˧/
作弄	/tsɔ:k˧ lʊŋ˨/
作弊	/tsɔ:k˧ pɐi˨/
作惡	/tsɔ:k˧ ɔ:k˧/, /tsɔ:k˧ ŋɔ:k˧/
作惡多端	/tsɔ:k˧ ɔ:k˧ tɔ:˥ ty:n˥/, /tsɔ:k˧ ŋɔ:k˧ tɔ:˥ ty:n˥/
作感冒	/tsɔ:k˧ kɐm˧˥ mou˨/
作成	/tsɔ:k˧ sɪŋ˨˩/
作戰	/tsɔ:k˧ tsi:n˧/
作戲	/tsɔ:k˧ hei˧/
作手腳	/tsɔ:k˧ sɐu˧˥ kœ:k˧/
作揖	/tsɔ:k˧ jɐp˥/
作文	/tsɔ:k˧ mɐn˨˩/
作曲	/tsɔ:k˧ kʰʊk˥/
作曲家	/tsɔ:k˧ kʰʊk˥ ka:˥/
作業	/tsɔ:k˧ ji:p˨/
作殊死戰	/tsɔ:k˧ sy:˨˩ sei˧˥ tsi:n˧/
作法	/tsɔ:k˧ fa:t˧/
作法自斃	/tsɔ:k˧ fa:t˧ tsi:˨ pɐi˨/
作為	/tsɔ:k˧ wɐi˨˩/
作狀	/tsɔ:k˧ tsɔ:ŋ˨/
作用	/tsɔ:k˧ jʊŋ˨/
作病	/tsɔ:k˧ pɛ:ŋ˨/
作痛	/tsɔ:k˧ tʰʊŋ˧/
作祟	/tsɔ:k˧ sɵy˨/
作禮拜	/tsɔ:k˧ lɐi˩˧ pa:i˧/
作筆記	/tsɔ:k˧ pɐt˥ kei˧/
作答	/tsɔ:k˧ ta:p˧/
作繭自縛	/tsɔ:k˧ ka:n˧˥ tsi:˨ pɔ:k˧/
作罷	/tsɔ:k˧ pa:˨/
作者	/tsɔ:k˧ tsɛ:˧˥/
作記號	/tsɔ:k˧ kei˧ hou˨/
作詞	/tsɔ:k˧ tsʰi:˨˩/
作詞家	/tsɔ:k˧ tsʰi:˨˩ ka:˥/
作詩	/tsɔ:k˧ si:˥/
作證	/tsɔ:k˧ tsɪŋ˧/
作賤	/tsɔ:k˧ tsi:n˨/
作賤自己	/tsɔ:k˧ tsi:n˨ tsi:˨ kei˧˥/
作陪	/tsɔ:k˨ pʰu:i˨˩/
作響	/tsɔ:k˧ hœ:ŋ˧˥/
作風	/tsɔ:k˧ fʊŋ˥/
佝	/kʰɐu˧/, /kʰɵy˥/
佝僂	/kɐu˥ lɐu˨˩/
佝僂病	/kɐu˥ lɐu˨˩ pɪŋ˨/
佞	/nɪŋ˨/
佞人	/nɪŋ˨ jɐn˨˩/, /lɪŋ˨ jɐn˨˩/
佞臣	/nɪŋ˨ sɐn˨˩/, /lɪŋ˨ sɐn˨˩/
佟	/tʰʊŋ˨˩/
你	/nei˩˧/
你un唔un呀？	/nei˩˧ ɐn˥ m̩˨˩ ɐn˥ a:˧/, /lei˩˧ ɐn˥ m̩˨˩ ɐn˥ a:˧/
𢫏你一巴掌	/kʰɐm˧˥ nei˩˧ jɐt˥ pa:˥ tsœ:ŋ˧˥/, /kʰɐm˧˥ lei˩˧ jɐt˥ pa:˥ tsœ:ŋ˧˥/
你估	/nei˩˧ ku:˧˥/, /lei˩˧ ku:˧˥/
你來我往	/nei˩˧ lɔ:i˨˩ ŋɔ:˩˧ wɔ:ŋ˩˧/, /lei˩˧ lɔ:i˨˩ ŋɔ:˩˧ wɔ:ŋ˩˧/
你個人	/nei˩˧ kɔ:˧ jɐn˨˩/, /lei˩˧ kɔ:˧ jɐn˨˩/
你做初一，我做十五	/nei˩˧ tsou˨ tsʰɔ:˥ jɐt˥ ŋɔ:˩˧ tsou˨ sɐp˨ ŋ˩˧/, /lei˩˧ tsou˨ tsʰɔ:˥ jɐt˥ ɔ:˩˧ tsou˨ sɐp˨ ŋ˩˧/
你儂我儂	/nei˩˧ nʊŋ˨˩ ŋɔ:˩˧ nʊŋ˨˩/
你哋	/nei˩˧ tei˨/, /lei˩˧ tei˨/
你哋嘅	/nei˩˧ tei˨ kɛ:˧/, /lei˩˧ tei˨ kɛ:˧/
你哋自己	/nei˩˧ tei˨ tsi:˨ kei˧˥/, /lei˩˧ tei˨ tsi:˨ kei˧˥/
你哋自己嘅	/nei˩˧ tei˨ tsi:˨ kei˧˥ kɛ:˧/, /lei˩˧ tei˨ tsi:˨ kei˧˥ kɛ:˧/
你嘅	/nei˩˧ kɛ:˧/, /lei˩˧ kɛ:˧/
你好	/nei˩˧ hou˧˥/, /lei˩˧ hou˧˥/
你好有心	/nei˩˧ hou˧˥ jɐu˩˧ sɐm˥/, /lei˩˧ hou˧˥ jɐu˩˧ sɐm˥/
你推我讓	/nei˩˧ tʰɵy˥ ŋɔ:˩˧ jœ:ŋ˨/, /lei˩˧ tʰɵy˥ ŋɔ:˩˧ jœ:ŋ˨/
你死我活	/nei˩˧ sei˧˥ ŋɔ:˩˧ wu:t˨/, /lei˩˧ sei˧˥ ŋɔ:˩˧ wu:t˨/
你知唔知	/nei˩˧ tsi:˥ m̩˨˩ tsi:˥/, /lei˩˧ tsi:˥ m̩˨˩ tsi:˥/
你自己	/nei˩˧ tsi:˨ kei˧˥/, /lei˩˧ tsi:˨ kei˧˥/
你自己嘅	/nei˩˧ tsi:˨ kei˧˥ kɛ:˧/, /lei˩˧ tsi:˨ kei˧˥ kɛ:˧/
你見點	/nei˩˧ ki:n˧ ti:m˧˥/, /lei˩˧ ki:n˧ ti:m˧˥/
你話點就點	/nei˩˧ wa:˨ ti:m˧˥ tsɐu˨ ti:m˧˥/, /lei˩˧ wa:˨ ti:m˧˥ tsɐu˨ ti:m˧˥/
你諗你	/nei˩˧ nɐm˧˥ nei˩˧/, /lei˩˧ lɐm˧˥ lei˩˧/
你諗你	/nei˩˧ nɐm˧˥ nei˩˧ mɐi˨ nɐm˧˥ kwɔ:˧ ka:k˧ lei˨˩/, /lei˩˧ lɐm˧˥ lei˩˧ mɐi˨ lɐm˧˥ kwɔ:˧ ka:k˧ lei˨˩/
你諗你，咪諗過隔籬	/nei˩˧ nɐm˧˥ nei˩˧ mɐi˨ nɐm˧˥ kwɔ:˧ ka:k˧ lei˨˩/, /lei˩˧ lɐm˧˥ lei˩˧ mɐi˨ lɐm˧˥ kwɔ:˧ ka:k˧ lei˨˩/
你講咩嘢話？	/nei˩˧ kɔ:ŋ˧˥ mɛ:˥ jɛ:˩˧ wa:˧˥/, /lei˩˧ kɔ:ŋ˧˥ mɛ:˥ jɛ:˩˧ wa:˧˥/
你講嘢呀？	/nei˩˧ kɔ:ŋ˧˥ jɛ:˩˧ a:˨˩/, /lei˩˧ kɔ:ŋ˧˥ jɛ:˩˧ a:˨˩/
你貴姓	/nei˩˧ kwɐi˧ sɪŋ˧/, /lei˩˧ kwɐi˧ sɪŋ˧/
你追我趕	/nei˩˧ tsɵy˥ ŋɔ:˩˧ kɔ:n˧˥/, /lei˩˧ tsɵy˥ ŋɔ:˩˧ kɔ:n˧˥/
你點睇	/nei˩˧ ti:m˧˥ tʰɐi˧˥/, /lei˩˧ ti:m˧˥ tʰɐi˧˥/
佢	/hɵy˩˧/, /kʰɵy˩˧/
佢	/kʰɵy˩˧/
𢫏佢一巴掌	/kʰɐm˧˥ kʰɵy˩˧ jɐt˥ pa:˥ tsœ:ŋ˧˥/
佢份人	/kʰɵy˩˧ fɐn˨ jɐn˨˩/
佢個人	/kʰɵy˩˧ kɔ:˧ jɐn˨˩/
佢兩個	/kʰɵy˩˧ lœ:ŋ˩˧ kɔ:˧/
佢哋	/kʰɵy˩˧ tei˨/
佢哋嘅	/kʰɵy˩˧ tei˨ kɛ:˧/
佢哋自己	/kʰɵy˩˧ tei˨ tsi:˨ kei˧˥/
佢哋自己嘅	/kʰɵy˩˧ tei˨ tsi:˨ kei˧˥ kɛ:˧/
佢嘅	/kʰɵy˩˧ kɛ:˧/
佢自己	/kʰɵy˩˧ tsi:˨ kei˧˥/
佢自己嘅	/kʰɵy˩˧ tsi:˨ kei˧˥ kɛ:˧/
佢隻嘢	/kʰɵy˩˧ tsɛ:k˧ jɛ:˩˧/
佣	/jʊŋ˨/
佣金	/jʊŋ˧˥ kɐm˥/
佣錢	/jʊŋ˧˥ tsʰi:n˨˩/
佤	/ŋa:˩˧/
佤族	/ŋa:˩˧ tsʊk˨/, /a:˩˧ tsʊk˨/
佥	/tsʰi:m˥/
佧	/kʰa:˥/, /kʰa:˧˥/
佩	/pʰu:i˧/
佩刀	/pʰu:i˧ tou˥/
佩劍	/pʰu:i˧ ki:m˧/
佩帶	/pʰu:i˧ ta:i˧/
佩掛	/pʰu:i˧ kwa:˧/
佩服	/pʰu:i˧ fʊk˨/
佩衽	/pʰu:i˧ jɐm˨/
佩袵	/pʰu:i˧ jɐm˨/
佪	/wu:i˨˩/
㗎佬	/ka:˨˩ lou˧˥/
佬	/lou˧˥/
佮	/tʰɐp˥/
佯	/jɵy˨˩/, /jœ:ŋ˨˩/
佯死	/jœ:ŋ˨˩ sei˧˥/
佯稱	/jœ:ŋ˨˩ tsʰɪŋ˥/
佯裝	/jœ:ŋ˨˩ tsɔ:ŋ˥/
佰	/pa:k˧/
佳	/ka:i˥/
佳人	/ka:i˥ jɐn˨˩/
佳作	/ka:i˥ tsɔ:k˧/
佳偶天成	/kɐi˥ ŋɐu˩˧ tʰi:n˥ sɪŋ˨˩/, /kɐi˥ ɐu˩˧ tʰi:n˥ sɪŋ˨˩/
佳境	/ka:i˥ kɪŋ˧˥/
佳期	/ka:i˥ kʰei˨˩/
佳節	/ka:i˥ tsi:t˧/
佳評	/ka:i˥ pʰɪŋ˨˩/
佳評如潮	/ka:i˥ pʰɪŋ˨˩ jy:˨˩ tsʰi:u˨˩/
佳話	/ka:i˥ wa:˨/
佳餚	/ka:i˥ ŋa:u˨˩/, /ka:i˥ a:u˨˩/
佳餚美酒	/ka:i˥ ŋa:u˨˩ mei˩˧ tsɐu˧˥/, /ka:i˥ a:u˨˩ mei˩˧ tsɐu˧˥/
佳麗	/ka:i˥ lɐi˨/
佴	/ji:˨/, /nɔ:i˨/
併	/pɪŋ˧/, /pʰɪŋ˧/
併發症	/pɪŋ˧ fa:t˧ tsɪŋ˧/
佶	/kɐt˥/, /ki:t˧/
佷	/hɐn˧˥/
佸	/kʰu:t˧/, /wu:t˨/
佹	/kwɐi˧˥/
佺	/tsʰy:n˨˩/
佻	/tʰi:u˥/, /tʰi:u˨˩/
佼	/ka:u˧˥/
佼佼者	/ka:u˧˥ ka:u˧˥ tsɛ:˧˥/
佽	/tsʰi:˧/
佾	/jɐt˨/
使	/sɐi˧˥/
使	/sɐi˧˥/, /si:˧˥/, /si:˧/
使乜	/sɐi˧˥ mɐt˥/
使乜咁客氣	/sɐi˧˥ mɐt˥ kɐm˧ ha:k˧ hei˧/
使乜講	/sɐi˧˥ mɐt˥ kɔ:ŋ˧˥/
使乜道歉	/sɐi˧˥ mɐt˥ tou˨ hi:p˧/
使乜驚呀	/sɐi˧˥ mɐt˥ kɛ:ŋ˥ a:˧/
使人	/sɐi˧˥ jɐn˨˩/
使人	/si:˧˥ jɐn˨˩/
使出	/si:˧˥ tsʰɵt˥/
使出渾身解數	/si:˧˥ tsʰɵt˥ wɐn˨˩ sɐn˥ ka:i˧˥ sou˧/
使勁	/si:˧˥ kɪŋ˨/
使命	/si:˧ mɪŋ˨/
使命感	/si:˧ mɪŋ˨ kɐm˧˥/
使唔使	/sɐi˧˥ m̩˨˩ sɐi˧˥/
使唔使…呀？	/sɐi˧˥ m̩˨˩ sɐi˧˥ a:˧/
使唔晒	/sɐi˧˥ m̩˨˩ sa:i˧/
使喚	/si:˧˥ wu:n˨/
使女	/si:˧ nɵy˩˧/, /si:˧ lɵy˩˧/
使徒	/si:˧ tʰou˨˩/
使得	/sɐi˧˥ tɐk˥/
使得	/si:˧˥ tɐk˥/
使性子	/si:˧˥ sɪŋ˧ tsi:˧˥/
使晒	/sɐi˧˥ sa:i˧/
使橫手	/sɐi˧˥ wa:ŋ˨˩ sɐu˧˥/
使然	/si:˧˥ ji:n˨˩/
使用	/sɐi˧˥ jʊŋ˨/
使眼色	/si:˧˥ ŋa:n˩˧ sɪk˥/, /si:˧˥ a:n˩˧ sɪk˥/
使筷子	/sɐi˧˥ fa:i˧ tsi:˧˥/
使節	/si:˧ tsi:t˧/
使者	/si:˧ tsɛ:˧˥/
使臣	/si:˧ sɐn˨˩/
使費	/sɐi˧˥ fɐi˧/
使錢	/sɐi˧˥ tsʰi:n˧˥/
使頸	/sɐi˧˥ kɛ:ŋ˧˥/
侀	/jɪŋ˨˩/
侁	/sɐn˥/
侂	/tʰɔ:k˧/
侃	/hɔ:n˧˥/
侃侃而談	/hɔ:n˧˥ hɔ:n˧˥ ji:˨˩ tʰa:m˨˩/
侅	/kɔ:i˥/
來	/lɐi˨˩/, /lɔ:i˨˩/, /lɔ:i˨/
來世	/lɔ:i˨˩ sɐi˧/
來之不易	/lɔ:i˨˩ tsi:˥ pɐt˥ ji:˨/
來來往往	/lɔ:i˨˩ lɔ:i˨˩ wɔ:ŋ˩˧ wɔ:ŋ˩˧/
來信	/lɔ:i˨˩ sɵn˧/
來勁	/lɔ:i˨˩ kɪŋ˧/
來勢	/lɔ:i˨˩ sɐi˧/
來勢洶洶	/lɔ:i˨˩ sɐi˧ hʊŋ˥ hʊŋ˥/
來回	/lɔ:i˨˩ wu:i˨˩/
來回票	/lɔ:i˨˩ wu:i˨˩ pʰi:u˧/
來客	/lɔ:i˨˩ ha:k˧/
來往	/lɔ:i˨˩ wɔ:ŋ˩˧/
來意	/lɔ:i˨˩ ji:˧/
來意不明	/lɔ:i˨˩ ji:˧ pɐt˥ mɪŋ˨˩/
來日	/lɔ:i˨˩ jɐt˨/
來日方長	/lɔ:i˨˩ jɐt˨ fɔ:ŋ˥ tsʰœ:ŋ˨˩/
來日無多	/lɔ:i˨˩ jɐt˨ mou˨˩ tɔ:˥/
來書	/lɔ:i˨˩ sy:˥/
來歷	/lɔ:i˨˩ lɪk˨/
來歷不明	/lɔ:i˨˩ lɪk˨ pɐt˥ mɪŋ˨˩/
來源	/lɔ:i˨˩ jy:n˨˩/
來福槍	/lɔ:i˨˩ fʊk˥ tsʰœ:ŋ˥/
來福線	/lɔ:i˨˩ fʊk˥ si:n˧/
來者	/lɔ:i˨˩ tsɛ:˧˥/
來者不善	/lɔ:i˨˩ tsɛ:˧˥ pɐt˥ si:n˨/
來者不善善者不來	/lɔ:i˨˩ tsɛ:˧˥ pɐt˥ si:n˨ si:n˨ tsɛ:˧˥ pɐt˥ lɔ:i˨˩/
來者不拒	/lɔ:i˨˩ tsɛ:˧˥ pɐt˥ kʰɵy˩˧/
來自	/lɔ:i˨˩ tsi:˨/
來賓	/lɔ:i˨˩ pɐn˥/
來路	/lɔ:i˨˩ lou˨/
來路	/lɔ:i˨˩ lou˧˥/
來路不明	/lɔ:i˨˩ lou˨ pɐt˥ mɪŋ˨˩/
來路嘢	/lɔ:i˨˩ lou˧˥ jɛ:˩˧/
來路貨	/lɔ:i˨˩ lou˧˥ fɔ:˧/
來電	/lɔ:i˨˩ ti:n˨/
來電顯示	/lɔ:i˨˩ ti:n˨ hi:n˧˥ si:˨/
來龍去脈	/lɔ:i˨˩ lʊŋ˨˩ hɵy˧ mɐk˨/
侇	/ji:˨˩/
侈	/tsʰi:˧˥/
侉	/kʰwa:˧˥/
例	/lɐi˨/
例句	/lɐi˨ kɵy˧/
例外	/lɐi˨ ŋɔ:i˨/, /lɐi˨ ɔ:i˨/
例如	/lɐi˨ jy:˨˩/
例文	/lɐi˨ mɐn˨˩/
例湯	/lɐi˨ tʰɔ:ŋ˥/
例牌	/lɐi˨ pʰa:i˧˥/
例行	/lɐi˨ hɐŋ˨˩/
例行公事	/lɐi˨ hɐŋ˨˩ kʊŋ˥ si:˨/
例行工作	/lɐi˨ hɐŋ˨˩ kʊŋ˥ tsɔ:k˧/
例證	/lɐi˨ tsɪŋ˧/
例題	/lɐi˨ tʰɐi˨˩/
侍	/si:˨/
侍仔	/si:˨ tsɐi˧˥/
侍候	/si:˨ hɐu˨/
侍僕	/si:˨ pʊk˨/
侍奉	/si:˨ fʊŋ˨/
侍女	/si:˨ nɵy˩˧/, /si:˨ lɵy˩˧/
侍從	/si:˨ tsʰʊŋ˨˩/
侍應	/si:˨ jɪŋ˧/
侍應生	/si:˨ jɪŋ˧ sɐŋ˥/
侍童	/si:˨ tʰʊŋ˨˩/
侍者	/si:˨ tsɛ:˧˥/
侍衛	/si:˨ wɐi˨/
侍衛長	/si:˨ wɐi˨ tsœ:ŋ˧˥/
侍衞	/si:˨ wɐi˨/
侍衞長	/si:˨ wɐi˨ tsœ:ŋ˧˥/
侏	/tsy:˥/
侏儒	/tsy:˥ jy:˨˩/
侏儒症	/tsy:˥ jy:˨˩ tsɪŋ˧/
侏羅紀	/tsy:˥ lɔ:˨˩ kei˧˥/
侐	/kwɪk˥/
侑	/jɐu˨/
侔	/mɐu˨˩/
侖	/lɵn˨˩/
侗	/tʊŋ˨/, /tʰʊŋ˨˩/
侗族	/tʊŋ˨ tsʊk˨/
侘	/tsʰa:˧/
侚	/sɵn˥/, /sɵn˨/
供	/kʊŋ˥/
供	/kʊŋ˥/, /kʊŋ˧/
供不應求	/kʊŋ˥ pɐt˥ jɪŋ˧ kʰɐu˨˩/
供事	/kʊŋ˧ si:˨/
供人	/kʊŋ˥ jɐn˨˩/
供佛	/kʊŋ˧ fɐt˥/
供出	/kʊŋ˥ tsʰɵt˥/
供出同伙	/kʊŋ˥ tsʰɵt˥ tʰʊŋ˨˩ fɔ:˧˥/
供參考	/kʊŋ˥ tsʰa:m˥ ha:u˧˥/
供品	/kʊŋ˧ pɐn˧˥/
供奉	/kʊŋ˧ fʊŋ˨/
供屋	/kʊŋ˥ ŋʊk˥/, /kʊŋ˥ ʊk˥/
供應	/kʊŋ˥ jɪŋ˧/
供旅客休息	/kʊŋ˥ lɵy˩˧ ha:k˧ jɐu˥ sɪk˥/
供暖	/kʊŋ˥ ny:n˩˧/, /kʊŋ˥ ly:n˩˧/
供果	/kʊŋ˧ kwɔ:˧˥/
供桌	/kʊŋ˧ tsœ:k˧/
供樓	/kʊŋ˥ lɐu˧˥/
供欣賞	/kʊŋ˥ jɐn˥ sœ:ŋ˧˥/
供水	/kʊŋ˥ sɵy˧˥/
供求	/kʊŋ˥ kʰɐu˨˩/
供狀	/kʊŋ˥ tsɔ:ŋ˨/
供祖宗	/kʊŋ˧ tsou˧˥ tsʊŋ˥/
供神	/kʊŋ˧ sɐn˨˩/
供給	/kʊŋ˥ kʰɐp˥/
供職	/kʊŋ˧ tsɪk˥/
供詞	/kʊŋ˥ tsʰi:˨˩/
供認	/kʊŋ˥ jɪŋ˨/
供讀者參考	/kʊŋ˥ tʊk˨ tsɛ:˧˥ tsʰa:m˥ ha:u˧˥/
供車	/kʊŋ˥ tsʰɛ:˥/
供銷	/kʊŋ˥ si:u˥/
供電	/kʊŋ˥ ti:n˨/
供需	/kʊŋ˥ sɵy˥/
供養	/kʊŋ˥ jœ:ŋ˩˧/
供鮮花	/kʊŋ˧ si:n˥ fa:˥/
侜	/tsɐu˥/
依	/ji:˥/
依依泣泣	/ji:˥ ji:˥ jɐp˥ jɐp˥/
依個	/ji:˥ kɔ:˧/
依偎	/ji:˥ wu:i˥/
依傍	/ji:˥ pɔ:ŋ˨/
依啲	/ji:˥ ti:˥/
依家	/ji:˨˩ ka:˥/
依度	/ji:˥ tou˨/
依戀	/ji:˥ ly:n˧˥/
依時	/ji:˥ si:˨˩/
依時依候	/ji:˥ si:˨˩ ji:˥ hɐu˨/
依時依候上班	/ji:˥ si:˨˩ ji:˥ hɐu˨ sœ:ŋ˩˧ pa:n˥/
依時依候嚟到	/ji:˥ si:˨˩ ji:˥ hɐu˨ lei˨˩ tou˧/
依次	/ji:˥ tsʰi:˧/
依泣	/ji:˥ jɐp˥/
依然	/ji:˥ ji:n˨˩/
依種	/ji:˥ tsʊŋ˧˥/
依賴	/ji:˥ la:i˨/
依靠	/ji:˥ kʰa:u˧/
侮	/mou˩˧/
侮辱	/mou˩˧ jʊk˨/
侯	/hɐu˨˩/, /hɐu˨/
侲	/tsɐn˧/
侳	/tsʰɔ:˧/, /tsɔ:˨/
侵	/tsʰɐm˥/
侵佔	/tsʰɐm˥ tsi:m˧/
侵入	/tsʰɐm˥ jɐp˨/
侵入體	/tsʰɐm˥ jɐp˨ tʰɐi˧˥/
侵奪	/tsʰɐm˥ ty:t˨/
侵害	/tsʰɐm˥ hɔ:i˨/
侵擾	/tsʰɐm˥ ji:u˧˥/
侵早	/tsʰɐm˥ tsou˧˥/
侵權	/tsʰɐm˥ kʰy:n˨˩/
侵犯	/tsʰɐm˥ fa:n˨/
侵略	/tsʰɐm˥ lœ:k˨/
侵略國	/tsʰɐm˥ lœ:k˨ kwɔ:k˧/
侵略性	/tsʰɐm˥ lœ:k˨ sɪŋ˧/
侵略戰爭	/tsʰɐm˥ lœ:k˨ tsi:n˧ tsɐŋ˥/
侵略者	/tsʰɐm˥ lœ:k˨ tsɛ:˧˥/
侵蝕	/tsʰɐm˥ sɪk˨/
侵襲	/tsʰɐm˥ tsa:p˨/
